資料版本,資料更新日期,來源查核日期,新北市地區名,民國年度,年齡層,性別,資料主題,指標名稱,分類維度,分類名稱,數值,下限,上限,單位,同類排名,同類項目數,同類分位帶,可比較年度數,時間排名,歷史位置,可得年度平均,與可得年度平均差值,與可得年度平均差率_百分比,前一年數值,與前一年差值,與前一年變化率_百分比,資料身分,計算方法,來源代號,來源網址,可用性狀態,限制說明,政策分析可用性,政策分析限制
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,合計,戶籍人口,戶籍人口數,,,313745,,,人,,,,5,1,可得年度最高,287253.8,26491.2,9.222228,,,,官方行政精確值,單一年齡戶籍人口直接加總,MOI-POP1Y,https://data.gov.tw/dataset/77132,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,合計,戶籍人口,占該地區同年齡性別戶籍人口比率,,,7.827748,,,%,,,,5,1,可得年度最高,7.134581,0.693167,9.715592,,,,官方行政精確值直接計算,青年戶籍人口÷該地區同年度同性別戶籍人口×100,MOI-POP1Y,https://data.gov.tw/dataset/77132,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,合計,戶籍人口,戶籍人口密度,,,152.854714,,,人/平方公里,,,,5,1,可得年度最高,139.948358,12.906356,9.222228,,,,官方行政精確值直接計算,戶籍人口數÷官方土地面積,MOI-POP1Y+NTPC-AREA,https://data.gov.tw/dataset/77132；https://data.ntpc.gov.tw/datasets/13f881c7-53c4-4f8c-b693-816584562666,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,合計,教育程度,教育程度占比,教育程度,專科,2.769447,2.769447,2.769447,%,4,5,中間60%,5,1,可得年度最高,2.560123,0.209324,8.176317,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-EDU,https://data.gov.tw/dataset/117988,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,合計,教育程度,教育程度占比,教育程度,研究所,0.474589,0.474589,0.474589,%,5,5,後20%,5,5,可得年度最低,0.597565,'-0.122976,'-20.579492,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-EDU,https://data.gov.tw/dataset/117988,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,合計,教育程度,教育程度占比,教育程度,國中及以下,18.939954,18.939954,23.847331,%,3,5,中間60%,5,5,可得年度最低,19.756459,'-0.816505,'-4.13285,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-EDU,https://data.gov.tw/dataset/117988,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,合計,教育程度,教育程度占比,教育程度,高中職,54.572931,49.665554,54.572931,%,1,5,前20%,5,1,可得年度最高,53.46833,1.104601,2.065898,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-EDU,https://data.gov.tw/dataset/117988,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,合計,教育程度,教育程度占比,教育程度,大學,23.24308,23.24308,23.24308,%,2,5,中間60%,5,4,接近可得年度平均,23.617523,'-0.374443,'-1.585446,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-EDU,https://data.gov.tw/dataset/117988,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,合計,婚姻狀態,婚姻狀態占比,婚姻狀態,離婚或終止結婚,0.422634,0.419784,0.422634,%,3,4,中間60%,5,5,可得年度最低,0.441502,'-0.018868,'-4.273637,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-MARITAL,https://data.gov.tw/dataset/117986,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,合計,婚姻狀態,婚姻狀態占比,婚姻狀態,有偶,1.765275,1.734793,1.765275,%,2,4,中間60%,5,1,可得年度最高,1.608254,0.157021,9.763459,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-MARITAL,https://data.gov.tw/dataset/117986,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,合計,婚姻狀態,婚姻狀態占比,婚姻狀態,未婚,97.809222,97.809222,97.842554,%,1,4,前20%,5,5,可得年度最低,97.947704,'-0.138482,'-0.141384,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-MARITAL,https://data.gov.tw/dataset/117986,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,合計,婚姻狀態,婚姻狀態占比,婚姻狀態,喪偶,0.002869,0.002869,0.002869,%,4,4,後20%,5,2,接近可得年度平均,0.00254,0.000329,12.952756,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-MARITAL,https://data.gov.tw/dataset/117986,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,女,戶籍人口,戶籍人口數,,,150236,,,人,,,,5,1,可得年度最高,137232,13004,9.475924,,,,官方行政精確值,單一年齡戶籍人口直接加總,MOI-POP1Y,https://data.gov.tw/dataset/77132,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,女,戶籍人口,占該地區同年齡性別戶籍人口比率,,,7.325812,,,%,,,,5,1,可得年度最高,6.639043,0.686769,10.344404,,,,官方行政精確值直接計算,青年戶籍人口÷該地區同年度同性別戶籍人口×100,MOI-POP1Y,https://data.gov.tw/dataset/77132,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,女,戶籍人口,戶籍人口密度,,,73.194093,,,人/平方公里,,,,5,1,可得年度最高,66.858621,6.335472,9.475924,,,,官方行政精確值直接計算,戶籍人口數÷官方土地面積,MOI-POP1Y+NTPC-AREA,https://data.gov.tw/dataset/77132；https://data.ntpc.gov.tw/datasets/13f881c7-53c4-4f8c-b693-816584562666,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,女,男女結構,性別占比,,,47.884747,,,%,,,,5,1,可得年度最高,47.770524,0.114223,0.239107,,,,官方行政精確值直接計算,該性別人口÷男女合計人口×100,MOI-POP1Y,https://data.gov.tw/dataset/77132,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,女,教育程度,教育程度占比,教育程度,專科,3.780053,3.780053,3.780053,%,4,5,中間60%,5,1,可得年度最高,3.548827,0.231226,6.515567,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-EDU,https://data.gov.tw/dataset/117988,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,女,教育程度,教育程度占比,教育程度,研究所,0.366091,0.366091,0.366091,%,5,5,後20%,5,5,可得年度最低,0.483361,'-0.11727,'-24.261307,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-EDU,https://data.gov.tw/dataset/117988,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,女,教育程度,教育程度占比,教育程度,國中及以下,18.145867,18.145867,22.573332,%,3,5,中間60%,5,5,可得年度最低,18.595626,'-0.449759,'-2.418629,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-EDU,https://data.gov.tw/dataset/117988,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,女,教育程度,教育程度占比,教育程度,高中職,51.894602,47.467138,51.894602,%,1,5,前20%,5,1,可得年度最高,51.344664,0.549938,1.071071,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-EDU,https://data.gov.tw/dataset/117988,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,女,教育程度,教育程度占比,教育程度,大學,25.813387,25.813387,25.813387,%,2,5,中間60%,5,3,接近可得年度平均,26.027522,'-0.214135,'-0.822725,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-EDU,https://data.gov.tw/dataset/117988,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,女,婚姻狀態,婚姻狀態占比,婚姻狀態,離婚或終止結婚,0.618766,0.615039,0.618766,%,3,4,中間60%,5,3,接近可得年度平均,0.622134,'-0.003368,'-0.54133,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-MARITAL,https://data.gov.tw/dataset/117986,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,女,婚姻狀態,婚姻狀態占比,婚姻狀態,有偶,2.429166,2.378944,2.429166,%,2,4,中間60%,5,1,可得年度最高,2.206035,0.223131,10.114592,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-MARITAL,https://data.gov.tw/dataset/117986,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,女,婚姻狀態,婚姻狀態占比,婚姻狀態,未婚,96.94874,96.94874,97.002688,%,1,4,前20%,5,5,可得年度最低,97.167495,'-0.218755,'-0.225132,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-MARITAL,https://data.gov.tw/dataset/117986,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,女,婚姻狀態,婚姻狀態占比,婚姻狀態,喪偶,0.003328,0.003328,0.003328,%,4,4,後20%,5,4,接近可得年度平均,0.004336,'-0.001008,'-23.250773,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-MARITAL,https://data.gov.tw/dataset/117986,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,男,戶籍人口,戶籍人口數,,,163509,,,人,,,,5,1,可得年度最高,150021.8,13487.2,8.99016,,,,官方行政精確值,單一年齡戶籍人口直接加總,MOI-POP1Y,https://data.gov.tw/dataset/77132,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,男,戶籍人口,占該地區同年齡性別戶籍人口比率,,,8.353646,,,%,,,,5,1,可得年度最高,7.657538,0.696108,9.090496,,,,官方行政精確值直接計算,青年戶籍人口÷該地區同年度同性別戶籍人口×100,MOI-POP1Y,https://data.gov.tw/dataset/77132,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,男,戶籍人口,戶籍人口密度,,,79.660621,,,人/平方公里,,,,5,1,可得年度最高,73.089736,6.570885,8.99016,,,,官方行政精確值直接計算,戶籍人口數÷官方土地面積,MOI-POP1Y+NTPC-AREA,https://data.gov.tw/dataset/77132；https://data.ntpc.gov.tw/datasets/13f881c7-53c4-4f8c-b693-816584562666,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,男,男女結構,性別占比,,,52.115253,,,%,,,,5,5,可得年度最低,52.229476,'-0.114223,'-0.218694,,,,官方行政精確值直接計算,該性別人口÷男女合計人口×100,MOI-POP1Y,https://data.gov.tw/dataset/77132,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,男,教育程度,教育程度占比,教育程度,專科,1.840877,1.840877,1.840877,%,4,5,中間60%,5,1,可得年度最高,1.655796,0.185081,11.177752,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-EDU,https://data.gov.tw/dataset/117988,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,男,教育程度,教育程度占比,教育程度,研究所,0.57428,0.57428,0.57428,%,5,5,後20%,5,5,可得年度最低,0.702014,'-0.127734,'-18.195387,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-EDU,https://data.gov.tw/dataset/117988,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,男,教育程度,教育程度占比,教育程度,國中及以下,19.66958,19.66958,25.017912,%,3,5,中間60%,5,5,可得年度最低,20.817791,'-1.148211,'-5.515526,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-EDU,https://data.gov.tw/dataset/117988,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,男,教育程度,教育程度占比,教育程度,高中職,57.033843,51.685511,57.033843,%,1,5,前20%,5,1,可得年度最高,55.411338,1.622505,2.92811,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-EDU,https://data.gov.tw/dataset/117988,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,男,教育程度,教育程度占比,教育程度,大學,20.881419,20.881419,20.881419,%,2,5,中間60%,5,5,可得年度最低,21.413061,'-0.531642,'-2.482792,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-EDU,https://data.gov.tw/dataset/117988,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,男,婚姻狀態,婚姻狀態占比,婚姻狀態,離婚或終止結婚,0.242423,0.24038,0.242423,%,3,4,中間60%,5,5,可得年度最低,0.276271,'-0.033848,'-12.251738,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-MARITAL,https://data.gov.tw/dataset/117986,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,男,婚姻狀態,婚姻狀態占比,婚姻狀態,有偶,1.155276,1.142932,1.155276,%,2,4,中間60%,5,1,可得年度最高,1.061403,0.093873,8.844278,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-MARITAL,https://data.gov.tw/dataset/117986,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,男,婚姻狀態,婚姻狀態占比,婚姻狀態,未婚,98.599854,98.599854,98.614242,%,1,4,前20%,5,5,可得年度最低,98.661428,'-0.061574,'-0.06241,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-MARITAL,https://data.gov.tw/dataset/117986,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,男,婚姻狀態,婚姻狀態占比,婚姻狀態,喪偶,0.002446,0.002446,0.002446,%,4,4,後20%,5,1,可得年度最高,0.000898,0.001548,172.383073,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-MARITAL,https://data.gov.tw/dataset/117986,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–35歲,合計,戶籍人口,戶籍人口數,,,913345,,,人,,,,5,1,可得年度最高,880654.8,32690.2,3.712033,,,,官方行政精確值,單一年齡戶籍人口直接加總,MOI-POP1Y,https://data.gov.tw/dataset/77132,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–35歲,合計,戶籍人口,占該地區同年齡性別戶籍人口比率,,,22.787406,,,%,,,,5,1,可得年度最高,21.870093,0.917313,4.194372,,,,官方行政精確值直接計算,青年戶籍人口÷該地區同年度同性別戶籍人口×100,MOI-POP1Y,https://data.gov.tw/dataset/77132,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–35歲,合計,戶籍人口,戶籍人口密度,,,444.976298,,,人/平方公里,,,,5,1,可得年度最高,429.049825,15.926473,3.712033,,,,官方行政精確值直接計算,戶籍人口數÷官方土地面積,MOI-POP1Y+NTPC-AREA,https://data.gov.tw/dataset/77132；https://data.ntpc.gov.tw/datasets/13f881c7-53c4-4f8c-b693-816584562666,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–35歲,合計,教育程度,教育程度占比,教育程度,專科,3.448139,3.448139,3.596059,%,5,5,後20%,5,1,可得年度最高,3.034719,0.41342,13.623008,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-EDU,https://data.gov.tw/dataset/117988,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–35歲,合計,教育程度,教育程度占比,教育程度,研究所,6.589748,6.589748,6.682464,%,4,5,中間60%,5,5,可得年度最低,6.811625,'-0.221877,'-3.257331,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-EDU,https://data.gov.tw/dataset/117988,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–35歲,合計,教育程度,教育程度占比,教育程度,國中及以下,11.685258,11.685258,13.488726,%,3,5,中間60%,5,1,可得年度最高,11.285736,0.399522,3.540063,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-EDU,https://data.gov.tw/dataset/117988,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–35歲,合計,教育程度,教育程度占比,教育程度,高中職,33.284809,31.614836,33.284809,%,2,5,中間60%,5,1,可得年度最高,32.084047,1.200762,3.74255,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-EDU,https://data.gov.tw/dataset/117988,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–35歲,合計,教育程度,教育程度占比,教育程度,大學,44.992047,44.617916,44.992047,%,1,5,前20%,5,5,可得年度最低,46.783872,'-1.791825,'-3.830007,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-EDU,https://data.gov.tw/dataset/117988,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–35歲,合計,婚姻狀態,婚姻狀態占比,婚姻狀態,離婚或終止結婚,2.230277,2.230277,2.358871,%,3,4,中間60%,5,5,可得年度最低,2.350981,'-0.120704,'-5.134189,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-MARITAL,https://data.gov.tw/dataset/117986,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–35歲,合計,婚姻狀態,婚姻狀態占比,婚姻狀態,有偶,16.861288,16.861288,17.262069,%,2,4,中間60%,5,2,接近可得年度平均,16.557423,0.303865,1.83522,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-MARITAL,https://data.gov.tw/dataset/117986,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–35歲,合計,婚姻狀態,婚姻狀態占比,婚姻狀態,未婚,80.878099,80.339405,80.878099,%,1,4,前20%,5,3,接近可得年度平均,81.060724,'-0.182625,'-0.225294,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-MARITAL,https://data.gov.tw/dataset/117986,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–35歲,合計,婚姻狀態,婚姻狀態占比,婚姻狀態,喪偶,0.030337,0.030337,0.039655,%,4,4,後20%,5,5,可得年度最低,0.030873,'-0.000536,'-1.736145,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-MARITAL,https://data.gov.tw/dataset/117986,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–35歲,女,戶籍人口,戶籍人口數,,,440862,,,人,,,,5,1,可得年度最高,424134.4,16727.6,3.943939,,,,官方行政精確值,單一年齡戶籍人口直接加總,MOI-POP1Y,https://data.gov.tw/dataset/77132,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–35歲,女,戶籍人口,占該地區同年齡性別戶籍人口比率,,,21.497326,,,%,,,,5,1,可得年度最高,20.514552,0.982774,4.790619,,,,官方行政精確值直接計算,青年戶籍人口÷該地區同年度同性別戶籍人口×100,MOI-POP1Y,https://data.gov.tw/dataset/77132,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–35歲,女,戶籍人口,戶籍人口密度,,,214.785367,,,人/平方公里,,,,5,1,可得年度最高,206.635779,8.149588,3.943939,,,,官方行政精確值直接計算,戶籍人口數÷官方土地面積,MOI-POP1Y+NTPC-AREA,https://data.gov.tw/dataset/77132；https://data.ntpc.gov.tw/datasets/13f881c7-53c4-4f8c-b693-816584562666,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–35歲,女,男女結構,性別占比,,,48.268945,,,%,,,,5,1,可得年度最高,48.159848,0.109097,0.226531,,,,官方行政精確值直接計算,該性別人口÷男女合計人口×100,MOI-POP1Y,https://data.gov.tw/dataset/77132,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–35歲,女,教育程度,教育程度占比,教育程度,專科,4.23393,4.23393,4.40536,%,5,5,後20%,5,1,可得年度最高,3.751347,0.482583,12.864247,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-EDU,https://data.gov.tw/dataset/117988,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
